pressure,dewpoint,humidity,cloud,rainfall,sunshine,winddirection,windspeed
1008.2,25,85,81,1,2.5,90,15.1
1013.4,19.5,69,17,0,10.5,70,12.4
1006.1,24.4,74,27,0,10.8,220,8.7
1016.8,16.8,95,95,1,0,60,35.1
1021.2,8.4,66,18,0,10.1,20,24.4
1013.4,16,96,100,1,0,50,33.5
1011.3,23.1,73,60,0,9,70,39.5
1005.7,25.7,86,79,1,6.5,20,20.5
1017.8,23.1,81,53,0,8.4,100,16.5
1016.8,20.7,91,70,1,6,40,9.4
1017.6,19,79,85,0,2,70,25
1006.8,25.2,92,88,1,0,220,5.9
1016.2,17.1,83,88,0,0.2,70,39.5
1007.5,25.3,74,72,1,10.1,230,23.7
1005.6,20,56,53,0,10.4,230,15.5
1014.5,19.5,86,83,0,3.6,50,8.3
1022,15.6,81,83,1,0.6,50,15.3
1013,21.4,94,85,1,1.5,40,12.5
1023.1,12.1,72,86,0,0.9,10,21.8
1009.1,19.3,94,88,1,0,70,29.8
1010.2,16.7,59,79,0,4.4,20,17.3
1006.3,26.1,84,67,1,5,270,6.9
1006.9,24.2,94,88,1,0.1,40,22.3
1024.1,8.4,58,19,0,11.1,30,14.6
1020.6,7.8,52,46,0,3.5,20,34.3
1012,19,97,92,1,0.1,30,13.1
1013,25.3,81,84,1,2.9,30,7.9
998.5,24,62,55,0,10.8,290,17.2
1008.1,25.4,86,75,1,5.7,20,9.5
1007.8,25.4,89,87,1,0.4,50,8.6
1015.3,18.9,86,83,0,6.1,50,4.5
1007.5,26.7,78,61,1,8.6,60,15.7
1014.8,16.3,95,95,1,0.1,60,38.3
1020.9,14,75,46,0,10,40,14.7
1020,15.5,88,80,0,3.3,50,21.2
1010.3,25.2,76,29,0,11.4,240,14.5
1009.5,25.3,75,32,0,9.3,220,10.9
1009.9,25.5,86,67,1,8.8,110,14.8
1008.6,20.6,75,62,0,8.8,80,26
1011.6,24.5,78,54,0,11.4,100,9.8
1006,26.3,79,58,0,10,230,27.4
1017.4,20.1,75,51,0,7.4,70,23.9
1032.6,3.7,46,25,0,10.1,20,28.7
1013.3,20.8,91,78,1,1,40,14.8
1004.9,25.3,78,38,0,11,230,20.5
1025.9,-0.4,39,25,0,9.1,20,35.6
1010.4,23,84,78,1,4.6,50,12.5
1021.8,15,79,56,0,3.4,30,21.5
1010.1,25,81,69,0,3.9,170,16.3
1014.6,20.7,87,88,0,2.3,50,9.2
1007.8,22.7,77,63,0,5.6,20,11.3
1025.4,8.7,62,71,0,2.1,30,29
1010.3,26.1,80,41,0,12,130,12.4
1016.7,21.2,78,47,0,7.7,90,19.6
1011.1,23.7,77,46,1,8.4,100,21.4
1017.5,9.8,64,77,1,0.1,40,22
1001,25.9,75,46,0,10.4,280,23.5
1011.4,23.4,87,82,1,2.7,40,9.2
1010.5,22.7,89,81,1,3.5,210,15.3
1017.7,20.6,82,85,1,2.6,80,43.8
1008.4,24.6,72,21,0,12.1,240,16
1008.9,25.4,77,32,0,11.9,250,21.6
1004.2,26.6,81,88,1,2.4,220,30
1022.4,9.7,57,44,0,8.6,60,39.3
1020.3,13.3,88,94,1,0,40,22.2
1017,21.1,80,83,0,0.4,70,40.4
1021.9,11.8,89,95,1,0,40,18.6
1007.8,24.7,82,62,1,8.8,100,16.2
1008,25.8,78,67,1,10.2,220,18.1
1015.8,23.3,82,58,1,7.7,50,12.8
1009.3,24.5,78,74,1,7.7,200,14.5
1021.8,10.9,76,45,0,9.2,40,9.1
1017.7,11.4,87,100,1,0,50,36
1023.9,9.2,75,88,1,0.2,20,19.4
1019.4,16.5,77,93,1,0,20,27.9
1019.9,13.7,79,86,0,0.6,20,23.9
1015.8,18,79,72,0,7.6,220,6.6
1009.9,25.3,83,84,0,2.9,190,15.5
